round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,kd_loss,kd_table_loss,kd_row_loss,kd_cell_loss,kd_weight,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,grad_norm_kd,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes,dev_weighted_ndcg,dev_table_ndcg,dev_row_ndcg,dev_cell_ndcg,dev_worst_ndcg
1,3.869340102194875,3.8382919937050124,4.49364713226902,4.104153698051167,3.0462864471588067,0.1552405496655967,8.337752499463046e-05,8.377665105378934e-05,8.191939600896537e-05,7.6190538126373e-05,0.0,6251,4793,4793,6251,0.06764936969357245,0.049227736867579114,0.027692015546167896,0.14270232004776404,0.0005196101958634738,0,534.6852456129855,11590.11669921875,11796480,0.22846971840756947,0.33143042360842967,0.3157897871017019,0.13489339511074594,0.12405458996337322
2,3.8708362080964682,3.8392485658232833,4.497524121065489,4.094239646534037,3.037582118723986,0.1578032203127211,0.00010798471250614374,8.020572644149475e-05,8.432805521796412e-05,0.0001256045453181053,0.25,6251,4793,4793,6251,0.08961304387175177,0.05848419800133194,0.04633992547128768,0.20637591427727348,0.0007744951239168644,0,536.0576366370078,11560.09130859375,11796480,0.2370928389920286,0.33745655416837966,0.33061504065122505,0.1408340319259703,0.12882104406979517
3,3.872715561188277,3.8408132363202747,4.497840291792552,4.084172983454121,3.0291527117117236,0.1593575645485816,6.162720339586228e-05,6.658102379218066e-05,6.083179940845253e-05,5.373094853058725e-05,0.5,6251,4793,4793,6251,0.1582774808061039,0.10691060642167606,0.08205826708305848,0.2759205239811743,0.0006068914426560207,0,534.4770999519387,11630.73095703125,11796480,0.23321260852690723,0.33264137295605906,0.32898863073943807,0.13597548942772794,0.12736575693192018
4,3.8630758381526826,3.832024027743504,4.483616525010729,4.095469782155395,3.0398456181377553,0.1551146827879482,5.774532078455852e-05,6.319607634765657e-05,6.251828405443377e-05,4.670614404833303e-05,0.5,6251,4793,4793,6251,0.19320511639652257,0.10911592433247587,0.08291751568046377,0.2995714747407983,0.00234390915424516,0,529.706508461968,13000.615234375,11796480,0.2257789197717454,0.3168884545889711,0.3232183093395058,0.13087147210419894,0.1227851221049228
5,3.8358921423589365,3.8067499242700067,4.45296633114195,4.063766265033209,3.018654302626682,0.14549050969282165,8.823417479110945e-05,8.705361196317564e-05,9.363674103903013e-05,7.761693162219207e-05,0.5,6251,4793,4793,6251,0.23959663262650235,0.18471730287544597,0.14896176456458282,0.39901579578597446,0.0016146578660879228,0,529.8543517590733,11475.08642578125,11796480,0.2060482043393021,0.2843847103099554,0.29643749997747404,0.12048002456813758,0.10184545335163168
