round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,kd_loss,kd_table_loss,kd_row_loss,kd_cell_loss,kd_weight,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,grad_norm_kd,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes,dev_weighted_ndcg,dev_table_ndcg,dev_row_ndcg,dev_cell_ndcg,dev_worst_ndcg,agg_min_weight,agg_max_weight,agg_weight_std
1,3.876090475950167,3.8450199126183175,4.498579640777073,4.0952341043786,3.0436564943621858,0.15535281655327293,6.756009170212006e-05,7.373951090868429e-05,6.686429781054267e-05,5.8680432297888507e-05,0.0,6251,4793,4793,6251,0.07546215026185742,0.057761713751341356,0.029619354346573392,0.14419132687451477,0.00027184446340620244,0,582.8138042239007,11527.30517578125,11796480,0.21442937086636182,0.3250319032616675,0.2958874008324475,0.12131353992858818,0.10846186114477836,0.19343469364173022,0.204388757886034,0.003760301470714639
2,3.876929981725852,3.845612829780108,4.490162634384597,4.094372237618487,3.042898282775641,0.15649369341653982,7.363694529384502e-05,7.330689864774501e-05,6.807054077235617e-05,7.021188319534441e-05,0.25,6251,4793,4793,6251,0.08971553375082299,0.014669863589738737,0.01115242107629765,0.17399733210499554,0.0009789947140132088,0,584.7776422840543,11600.32568359375,11796480,0.22666048469288486,0.33257085434450334,0.31095420091365483,0.13372010709977547,0.12095332006507264,0.19237523925348482,0.20557928349528726,0.004416838731002465
3,3.8749104746791243,3.8431875505044713,4.490325415606471,4.0818181610483455,3.0321648142840787,0.15841614733880666,7.939995943643303e-05,7.139420003292352e-05,6.779739758864572e-05,8.272960574678993e-05,0.5,6251,4793,4793,6251,0.10762880290994165,0.06471949936981419,0.04067483817710958,0.1941567799605803,0.00022286902733873465,0,584.4825948800426,11522.77099609375,11796480,0.23522294476233507,0.3373232577257126,0.32730889588136297,0.13913124890556736,0.12281530908117802,0.19202032397790053,0.2058598380002679,0.004581675242533778
4,3.8694697341812385,3.837612475994497,4.494917510416331,4.095952588546689,3.0420691649721023,0.15910216024621254,7.364388577811939e-05,6.717981986272872e-05,6.644696744185061e-05,7.43387346368687e-05,0.5,6251,4793,4793,6251,0.12825681180883206,0.05594956331041441,0.03690295782727152,0.24430134288564287,0.002719795077453849,0,585.8775034290738,13785.49169921875,11796480,0.23640795753088384,0.33550476347446995,0.33073020967703404,0.1401758838657593,0.1265253734336117,0.1928015940608161,0.20506580670628954,0.004107578767048359
5,3.8777607236382217,3.845660294198725,4.4977317496330915,4.0827049590519975,3.0300253747950476,0.160354088491647,5.9220349810941334e-05,6.385337268768684e-05,5.879376532815093e-05,5.128711041914421e-05,0.5,6251,4793,4793,6251,0.13520837400743915,0.041060944465558406,0.023783676052724034,0.26752355415247886,0.00024387423294044893,0,583.9344936190173,11583.6044921875,11796480,0.23264888969915798,0.3351308067130917,0.32292637396440854,0.1374896323344342,0.12653680723281394,0.1937975692342077,0.20578443820824893,0.003939302782786846
6,3.877251473666592,3.8455600582870058,4.50130399457988,4.096800331856784,3.0398868262436145,0.1583220333596083,5.401158945508413e-05,6.135577026710956e-05,5.5517632708387036e-05,4.4417678603737736e-05,0.5,6251,4793,4793,6251,0.18036801766908578,0.1305436976777049,0.12138305819420799,0.3331993182326049,0.0026999261987132343,0,582.7314816238359,11575.32763671875,11796480,0.2330092735898055,0.3304801699431538,0.3288940042905178,0.13649007662803878,0.12195259720135278,0.19389101609515838,0.20538862825962492,0.0037473079825946754
7,3.8680908577855213,3.836688263436763,4.491217497799574,4.07843016664779,3.0284597533718256,0.15687209919248998,5.6346843779148594e-05,6.227358645119717e-05,6.082058114624652e-05,4.538179742218731e-05,0.5,6251,4793,4793,6251,0.18727655431695486,0.08637671253597907,0.05208505719395083,0.2706976739137007,0.00044944799735662536,0,583.7138849431649,11597.37646484375,11796480,0.22754214566734773,0.3224462259629901,0.3198273766313476,0.1342093749706909,0.1208425407011136,0.19457108526488479,0.20469612559352923,0.0032780598696820606
8,3.8617698684928854,3.8309836722131676,4.479495611081649,4.071874687926714,3.0252763214138665,0.15376846275729578,6.500730028671049e-05,6.852555478009286e-05,7.101419596522473e-05,5.3656990395943096e-05,0.5,6251,4793,4793,6251,0.19925543606176885,0.1524513057866206,0.09499559463357882,0.33822459593214904,0.0008067874168771012,0,583.6483108499087,11569.95556640625,11796480,0.22020417467921538,0.3123090233318712,0.31317538166204284,0.12757951102845655,0.12044860710296594,0.19480910860012174,0.20496201752302745,0.0033287061668202376
9,3.8396034348363437,3.8100884109364928,4.463135866714812,4.07164062364014,3.0232199528551487,0.1473680600781597,8.282453323141499e-05,8.014901650639184e-05,9.036569913458274e-05,7.218240547538419e-05,0.5,6251,4793,4793,6251,0.20768643117710545,0.12381296637969791,0.08088931263858767,0.4210465347601075,0.0007299082517514808,0,585.7731375391595,12947.5771484375,11796480,0.21430331886673168,0.29489350674860176,0.3085461642291156,0.12552153649655323,0.11382862738623183,0.19478963536792065,0.2050605171269037,0.0033017126562123306
10,3.824102128380104,3.7955530201743453,4.439671691385223,4.077053690860689,3.0309092849673047,0.14248221009570672,0.00010533036541075597,0.00010136893845437871,0.00011432679212023231,9.291947489265815e-05,0.5,6251,4793,4793,6251,0.3206589761997424,0.20087830273930446,0.16506687239303636,0.37566718437796115,0.003066802082895089,0,586.3120356039144,11520.95068359375,11796480,0.20503098077611648,0.2790975307496449,0.29455751379991124,0.12168844097242829,0.10356882012370323,0.19542526552641928,0.20595985254438023,0.0036235354655479593
