round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,kd_loss,kd_table_loss,kd_row_loss,kd_cell_loss,kd_weight,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,grad_norm_kd,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes,dev_weighted_ndcg,dev_table_ndcg,dev_row_ndcg,dev_cell_ndcg,dev_worst_ndcg,agg_min_weight,agg_max_weight,agg_weight_std
1,3.872846723680945,3.8417227849966267,4.493757234022953,4.091318215502046,3.0416079809142733,0.1556197021534633,6.746070451695417e-05,7.352273847654342e-05,6.622363174837594e-05,5.887072484353857e-05,0.0,6251,4793,4793,6251,0.05857195582567964,0.016482435316697734,0.010250555244582408,0.1265311533264255,0.0003999805299868851,0,583.6914961279836,11562.29736328125,11796480,0.2142710829581845,0.32650068595291376,0.29543717950230874,0.12067958383381829,0.1082606489947798,0.19356110579402577,0.2044745959011428,0.003739826302661578
2,3.8714695590908397,3.8400029915752154,4.4925162205524,4.10540249185343,3.047372897738944,0.15724316197448582,7.1729628389045e-05,7.136271450760339e-05,6.729892694978308e-05,6.821600694917168e-05,0.25,6251,4793,4793,6251,0.0808019911378,0.015650303568408016,0.007224915404445794,0.17632368652211652,0.0009407265117426047,0,586.9842045998666,11604.60791015625,11796480,0.22632878888805713,0.3327104678239171,0.3100048674124064,0.13357047019910356,0.12083823894055253,0.1923585901693866,0.20524269388562918,0.004338069619258325
3,3.872705811083379,3.8413477018214612,4.496937590243602,4.0793249672333936,3.029034561139826,0.15659590521196137,7.785585513146933e-05,7.019040956812551e-05,6.769875958818594e-05,8.012441815188364e-05,0.5,6251,4793,4793,6251,0.11840716499782554,0.060767621002806756,0.03724297781223335,0.19230008679668872,0.0004584224989328601,0,586.3368472578004,11621.68505859375,11796480,0.23363296626274377,0.3354136494765251,0.32426145009540386,0.13854360267763519,0.12243759323169906,0.19194543231059372,0.2057732443664014,0.0045946687413358275
4,3.8851386079663914,3.853157623516125,4.500452280688846,4.083249276667953,3.033424541335541,0.15972208005529273,7.313225940412301e-05,6.861832383903042e-05,6.522758074141545e-05,7.272999616091854e-05,0.5,6251,4793,4793,6251,0.13021563277923645,0.02690239748820304,0.016249366183858246,0.25272502027175675,0.0011086723248866963,0,585.0310657841619,11498.7822265625,11796480,0.23593908378531298,0.33663747939654537,0.3312516638917864,0.13847217747693594,0.1251356468214088,0.19284105835770854,0.20483635876182066,0.004063264197150075
5,3.87768651967831,3.84570026144116,4.493817870475585,4.0983508556464034,3.043196469483562,0.15978263276043375,5.946764017120833e-05,6.351462705331584e-05,5.8166770156770374e-05,5.261645342566066e-05,0.5,6251,4793,4793,6251,0.15588216856507026,0.05992059301794369,0.03478076443631885,0.23226266554166877,0.0013411274645368351,0,584.8361861589365,11612.462890625,11796480,0.2337028362226663,0.33832286782989873,0.3233848066986244,0.13804564129419847,0.12781605258250384,0.19354553849897538,0.20506465915416652,0.003950003185553507
6,3.8792064025025286,3.8472807898769967,4.496476372063596,4.06652013499704,3.017873032706115,0.15949426383218362,5.351959208046504e-05,6.173867570193772e-05,5.548960237460944e-05,4.260830508778125e-05,0.5,6251,4793,4793,6251,0.16642320008637537,0.05377930893958107,0.048344513326492665,0.28074840456513384,0.0015510269136310186,0,582.7914950100239,11586.79638671875,11796480,0.23221221641410106,0.333078554757437,0.32536660714685767,0.13597304663711277,0.1259585373962138,0.1935342602310982,0.20567992311036834,0.003977275960144765
7,3.869066312443774,3.8373973750098602,4.492641881543994,4.133045140757316,3.0631108247152126,0.1582080928561797,5.463745639481999e-05,6.170218743066668e-05,5.909619841934206e-05,4.424169079481418e-05,0.5,6251,4793,4793,6251,0.19215631359436602,0.05304194636196425,0.040146566219126545,0.2748315878779902,0.00037825932323454057,0,587.7122305149678,11582.73974609375,11796480,0.2308327089943767,0.3256129188286955,0.32534594356252,0.13621268431976316,0.12489751109136978,0.1944638026290822,0.2053632207967991,0.003508377130213181
8,3.8674283206997067,3.836283677911466,4.487833380246631,4.05746105823443,3.013538067761128,0.1555750899712633,5.924808792152255e-05,6.472618388309597e-05,6.335724301649764e-05,4.806143473955608e-05,0.5,6251,4793,4793,6251,0.1890549525189451,0.18945973952738626,0.12546913950172586,0.3481687703704703,0.0013003795972956194,0,584.9301188820973,11716.36767578125,11796480,0.22494976429563818,0.3159803260478896,0.3173337835350722,0.13310712805107724,0.12448630549397176,0.19473406641432434,0.204709858379419,0.0032077312616385326
9,3.8542480204979066,3.8239932354129187,4.468400472152178,4.072870151994487,3.0222461540430245,0.15109627882947219,7.10573836277061e-05,7.312400039258924e-05,7.825350685406922e-05,5.902177493394757e-05,0.5,6251,4793,4793,6251,0.21923670252665153,0.09271565095747841,0.04631012309977688,0.38825115007255956,0.0008193098464558669,0,585.8984915099572,11584.06884765625,11796480,0.2190802516221229,0.30253954807854905,0.3148327476365377,0.1282450354309036,0.11840439121191554,0.19473269290748174,0.20476241749869675,0.003257137267606472
10,3.8339833240991688,3.8051674183595057,4.4569314266128774,4.067790596949496,3.0197428848144683,0.14385574244487148,8.95177687589577e-05,8.752428766106699e-05,9.844086152644422e-05,7.729640269977951e-05,0.5,6251,4793,4793,6251,0.2675748712798606,0.18204337775481907,0.11683160861281199,0.4644632790910955,0.003778361158281504,0,586.701720403973,11448.23095703125,11796480,0.21104066576570965,0.2870476253164833,0.3057089023372648,0.1238369400024671,0.10544536341417543,0.1951652024888097,0.20556234397351722,0.0033943604101699517
