round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,kd_loss,kd_table_loss,kd_row_loss,kd_cell_loss,kd_weight,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,grad_norm_kd,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes
1,0.4834327003918588,0.45419247285462916,0.6710207797586918,0.39363890513777733,0.4037932734936476,0.146201160736382,6.653498942910119e-05,7.003732025623322e-05,4.7851353883743286e-05,7.634423673152924e-05,0.0,64,50,50,64,0.06775957498616775,0.02192058065533815,0.016357853377468024,0.12516041898106772,0.00030923798921754953,0,6.66507171606645,2476.845703125,4718592
2,0.5945043712854385,0.5639795288443565,0.6756673473864794,0.445094944909215,0.4802699778228998,0.15253564063459635,7.086694347435696e-05,6.42482191324234e-05,5.463138222694397e-05,6.854534149169922e-05,0.25,64,50,50,64,0.07477139787103729,0.06337698172078651,0.04686306716965568,0.13815502737438554,0.0004972371695483052,0,5.425897850072943,2546.52978515625,4718592
