round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,kd_loss,kd_table_loss,kd_row_loss,kd_cell_loss,kd_weight,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,grad_norm_kd,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes,dev_weighted_ndcg,dev_table_ndcg,dev_row_ndcg,dev_cell_ndcg,dev_worst_ndcg
1,3.042479309719056,3.01203463668935,3.1806672401726246,2.7866685753688216,2.7214050628244877,0.1522234631702304,7.017339908088616e-05,7.771700620651245e-05,7.562525570392609e-05,5.5165612138807774e-05,0.0,128,100,100,128,0.07451304025792416,0.032018384725201944,0.016418254933007474,0.13092405654666073,0.0006814138389087004,0,12.960449791047722,2631.1259765625,4718592,0.21648786984731755,0.3421328899759023,0.28339277099036897,0.1260869211100528,0.12027312062410879
2,3.0412311954423785,3.010473946109414,3.2378623178228736,2.977727273479104,2.875434988178313,0.15370373521000147,6.60460925132611e-05,7.496413309127092e-05,7.174804341048002e-05,5.6858290918171406e-05,0.25,128,100,100,128,0.07317848260011128,0.04849884443656316,0.028970942863654064,0.1290729006305333,6.084689773740166e-05,0,11.40475385193713,2692.6796875,4718592,0.2205330413272923,0.34340124760432605,0.295554105935137,0.12637312005177198,0.11893110460107985
3,3.0982653154060245,3.0694051056634635,3.2809711564332247,2.882637166418135,2.7281518867239356,0.14411891670897603,7.285095119868856e-05,7.525109685957432e-05,6.373540963977575e-05,6.98319636285305e-05,0.5,128,100,100,128,0.08965160715561185,0.04816169063535573,0.02196346349228018,0.14755104810026315,0.001301850868768778,0,11.183565470972098,2503.72412109375,4718592,0.22682153445245004,0.35133771332730807,0.30397535553526867,0.13072277025281565,0.12470160248623885
4,2.9696989273652434,2.9391189019661397,3.1216505765914917,2.9317836035043,2.770368216559291,0.15272364020347595,7.058072463905773e-05,6.878480780869722e-05,7.015687879174948e-05,6.981182377785444e-05,0.5,128,100,100,128,0.082398597212299,0.03697297855799418,0.02429970984464181,0.18315002968509972,0.00030457142936371267,0,11.441344738006592,2454.083984375,4718592,0.2338089111716986,0.35322791982592755,0.3175616937778126,0.13578963814633863,0.12737488169796865
5,3.0324638225138187,3.003681228728965,3.169377821497619,2.98847471550107,2.811811398714781,0.1437099645845592,8.119442617271488e-05,7.470266427844763e-05,8.085148874670267e-05,7.474177982658148e-05,0.5,128,100,100,128,0.11065472305575434,0.03626801545146308,0.02333083532767128,0.21616569776758243,0.000560470021419798,0,11.194555231020786,2512.04248046875,4718592,0.23329274328949118,0.3468777078249541,0.31616137946714135,0.13813757576871588,0.1290384085858787
