variant,level,eligible_queries,recall@1,recall@5,mrr,map,ndcg@10
flat,table,1147,0.07846556233653008,0.25719267654751526,0.1675565624207677,0.1478423269062573,0.18140684212224417
flat,row,864,0.10185185185185185,0.34375,0.21177123849221835,0.21177123849221835,0.2599259431346424
flat,cell,864,0.056712962962962965,0.20717592592592593,0.1295654506705456,0.02949782400892577,0.055709638616561315
oracle_structure,table,1147,0.07672188317349608,0.25806451612903225,0.1660507828633256,0.1465216455073784,0.18085545245059115
oracle_structure,row,864,0.06944444444444445,0.22337962962962962,0.14427182514981235,0.11781478584469472,0.14645785366429054
oracle_structure,cell,864,0.06018518518518518,0.20717592592592593,0.134830596646093,0.03087850549631794,0.05829207989581465
predicted_structure,table,1147,0.07933740191804708,0.25719267654751526,0.16760220545508847,0.1475525611022903,0.1817129099204827
predicted_structure,row,864,0.06712962962962964,0.22916666666666666,0.14551208265137935,0.12008912797100947,0.14956994198306253
predicted_structure,cell,864,0.05555555555555555,0.20601851851851852,0.12905434777392316,0.02964576857741951,0.056207280833735815
