round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,kd_loss,kd_table_loss,kd_row_loss,kd_cell_loss,kd_weight,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,grad_norm_kd,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes,dev_weighted_ndcg,dev_table_ndcg,dev_row_ndcg,dev_cell_ndcg,dev_worst_ndcg
1,3.8595698610311344,3.828567555974684,4.487116644880875,4.0934126639580155,3.036325400278649,0.15501152656060688,0.0003713495807431732,0.00028731249119486827,0.00033200733397520605,0.00040072084979331257,0.0,6251,4793,4793,6251,0.06764936969357245,0.049227736867579114,0.027692015546167896,0.14270232004776404,0.0005196101958634738,0,533.6367916669697,11590.11669921875,11796480,0.20439123818591712,0.27764369780825365,0.298199302370694,0.11880541582611641,0.10324407018610687
2,3.746270419666447,3.718729274540372,4.360160306597522,3.970960571597633,2.9385172117062,0.13575559983138827,0.0015600973892172846,0.0018717923661575578,0.001623561623855353,0.001228179102811495,0.25,6251,4793,4793,6251,0.27789103385396824,0.1640466446757138,0.14040247746785772,0.41854364398261856,0.0021007034809124216,0,533.0188317339635,11560.09130859375,11796480,0.1433129000047701,0.17989058093420093,0.21688733857968012,0.08453716448805176,0.06587384831396395
3,3.6724167642123895,3.6454243496139123,4.291480670711874,3.8944597961291203,2.8569001605782,0.13117613102709563,0.001514371108231105,0.0014537605927970735,0.0014095194794153992,0.001459234748054143,0.5,6251,4793,4793,6251,0.555372272586924,0.33965626816028527,0.33848112514638723,1.0153214370170869,0.01795457282844494,0,534.06910784496,11630.73095703125,11796480,0.07244513252663881,0.09129247812039702,0.11885494373520147,0.03706030756399794,0.02268064864585504
4,3.6281380357380986,3.60043790883801,4.241285171803633,3.8769146588877206,2.8283249140023665,0.13383019205181462,0.00186817769291816,0.001680998186608496,0.0018084908885783557,0.0018361530501002255,0.5,6251,4793,4793,6251,0.8186120002262562,0.481353214720582,0.42972464677047156,1.3256798623267878,0.03194004881140914,0,534.604444422992,12998.0869140625,11796480,0.06153116349409186,0.07199731977061676,0.10292463747948917,0.03250861659224351,0.01695497784040017
5,3.5864640671539587,3.558017012248495,4.199422985887605,3.834398718642032,2.7847811182697817,0.13682622075606526,0.002163624129257211,0.0019208164097703573,0.002100822221782319,0.0021248777549509753,0.5,6251,4793,4793,6251,0.8265904213741477,0.5051374167607702,0.47296895169221204,1.1707950107892944,0.03837327640694503,0,533.6001653439598,11471.13232421875,11796480,0.0521080628183298,0.05926797303687245,0.0873911913116644,0.028074221634911998,0.015834149333810554
6,3.5634797139037557,3.534237504683421,4.1686453401518815,3.797125390977919,2.75005992948537,0.13901172985152138,0.0028797280163853226,0.002564898805964122,0.0027185804782739625,0.002847218267642565,0.5,6251,4793,4793,6251,0.7618706297453838,0.34112026258235933,0.3497921578849574,1.0107033726287986,0.02193119872074442,0,533.7452487279661,14750.2578125,11796480,0.06625849648181295,0.07903882699803283,0.11111974820168165,0.034229613243403775,0.023579687869413047
7,3.529697362000823,3.500851030537786,4.14416411162136,3.775509472274492,2.727335139993636,0.1368588254077188,0.0029491298671167417,0.002763229744394105,0.00280295791506666,0.0028662115169563952,0.5,6251,4793,4793,6251,0.9049170436246894,0.6222741238052968,0.5392753169307278,1.6254555378775264,0.03583628165406703,0,534.2063926811097,11561.29296875,11796480,0.052730725138528015,0.06379560166482669,0.08799430528487691,0.027146626440199214,0.016005661960359387
8,3.5189598703757627,3.4886474642616956,4.131326650295288,3.7682863318681026,2.719770661148786,0.1407595090929769,0.004321011333715253,0.003971131879642041,0.004124283780297344,0.004244402611257859,0.5,6251,4793,4793,6251,0.8769732980098915,0.3440734836589236,0.3864629318828367,0.8026684585648448,0.0327783785648258,0,536.0070257290499,11597.662109375,11796480,0.05267037665888313,0.0632129907401626,0.08791017270807172,0.0273094533968582,0.01757924773147462
9,3.5092365998952433,3.479037204758085,4.117936343181185,3.757275566388465,2.7092259635571154,0.139915074023011,0.004432765818751937,0.004068995194524783,0.004155828591758756,0.004335880000078073,0.5,6251,4793,4793,6251,0.9651703579683188,0.541996639301932,0.5974116963372685,1.5325472954526385,0.05876108067759001,0,535.3194035240449,11603.45751953125,11796480,0.052352749061637636,0.06866306186741997,0.08530330555816644,0.026058290041407417,0.018042398411472895
10,3.493243456387285,3.4628746911819985,4.1029937994346755,3.729417436126074,2.685664441574235,0.14150068230725285,0.004137255488396043,0.003802100030164655,0.003970583819464528,0.0040231977963527624,0.5,6251,4793,4793,6251,0.9531066395046923,0.4000344048740549,0.5206051293845458,1.2842435365378186,0.06488983396249283,1,535.4026080019539,13046.15673828125,11796480,0.04804965896803836,0.06351384654097346,0.07942065616022254,0.023041385623553817,0.01464417861421367
