round,loss,ce_loss,teacher_mse,examples,seconds,peak_gpu_mib,round_communication_bytes
1,0.6569367463826778,0.6328954704371902,0.00024041275945487682,6251,190.6273187508341,1414.6943359375,11796480
2,0.648726658754411,0.6211998924872,0.00027526766267211027,6251,188.79773246287368,1414.6943359375,11796480
3,0.638650200478962,0.6065535552311829,0.0003209664524777898,6251,189.30695709283464,1414.5771484375,11796480
4,0.6301792415877665,0.593186981923697,0.0003699225966406957,6251,189.3559037160594,1413.5693359375,11796480
5,0.6210586258063727,0.5767400150554586,0.00044318610765213204,6251,189.3261044609826,1413.5693359375,11796480
6,0.6149203566501411,0.561695557479124,0.0005322479928063403,6251,190.51849413500167,1414.6943359375,11796480
7,0.6138174324363185,0.5490651087992455,0.0006475232434237806,6251,189.80022124294192,1414.6943359375,11796480
8,0.6159501811310881,0.5375380008304601,0.0007841218250693358,6251,188.51857053488493,1414.6943359375,11796480
9,0.6174381032083149,0.5282515668994558,0.0008918654005022541,6251,188.48662372212857,1413.5693359375,11796480
10,0.6186952073180507,0.5183637996178898,0.0010033141307005198,6251,188.3801435220521,1416.37890625,11796480
