round,loss,ce_loss,teacher_mse,examples,seconds,peak_gpu_mib,round_communication_bytes
1,0.6496749827925771,0.628311116447207,0.00021363866345370085,6251,189.0504408509005,1418.0634765625,11796480
2,0.6416420663236954,0.6173283408235952,0.00024313725500100044,6251,187.0728075960651,1422.5927734375,11796480
3,0.631859901846622,0.6048907304190854,0.0002696917142753658,6251,187.4982336149551,1416.9384765625,11796480
4,0.6229541029171852,0.5920776604661985,0.00030876442450986823,6251,189.76618025708012,1416.9384765625,11796480
5,0.6131516565611553,0.5780538423146426,0.00035097814246512764,6251,186.8978496028576,1418.0634765625,11796480
6,0.6068715943917077,0.5649252961197035,0.00041946298314893504,6251,187.65387943200767,1439.67822265625,11796480
7,0.6035363870321909,0.553109609352829,0.0005042677790333664,6251,189.43877829005942,1418.623046875,11796480
8,0.5990642420733283,0.5410262518304081,0.0005803799105301747,6251,190.55553590808995,1423.7353515625,11796480
9,0.598437485089238,0.5313933735184538,0.0006704411376528019,6251,189.51331582316197,1417.498046875,11796480
10,0.5950850919989461,0.5193812845037646,0.0007570381140061823,6251,189.10168431210332,1437.40673828125,11796480
