method,round,raw_train_loss,normalized_train_loss,dev_weighted_ndcg,cell_recall@5_per_round
FedE4RAG-Flat,1,0.6502627095680672,1.0,NA,NA
FedE4RAG-Flat,2,0.6404140189657861,0.98485428972419,NA,NA
FedE4RAG-Flat,3,0.6310781875736053,0.9704972748518748,NA,NA
FedE4RAG-Flat,4,0.6224713875455002,0.9572613935665676,NA,NA
FedE4RAG-Flat,5,0.6143217139490864,0.9447284995892593,NA,NA
FedE4RAG-Flat,6,0.6067421414536367,0.9330723298844267,NA,NA
FedE4RAG-Flat,7,0.6040787837098134,0.9289765118333001,NA,NA
FedE4RAG-Flat,8,0.5989237357894434,0.9210488729813133,NA,NA
FedE4RAG-Flat,9,0.5959725280752175,0.9165103877340413,NA,NA
FedE4RAG-Flat,10,0.5999884179353914,0.9226861837639895,NA,NA
FedE4RAG-UniTable,1,0.6584623849256566,1.0,NA,NA
FedE4RAG-UniTable,2,0.6475542716119908,0.9834339613569614,NA,NA
FedE4RAG-UniTable,3,0.6388897445978098,0.970275233975504,NA,NA
FedE4RAG-UniTable,4,0.6290875405277252,0.9553887282395821,NA,NA
FedE4RAG-UniTable,5,0.6199131139084929,0.9414556216122869,NA,NA
FedE4RAG-UniTable,6,0.6136335679568969,0.9319189402537839,NA,NA
FedE4RAG-UniTable,7,0.6126654635951497,0.930448690192565,NA,NA
FedE4RAG-UniTable,8,0.6147003616341358,0.9335390687556713,NA,NA
FedE4RAG-UniTable,9,0.6144999632181171,0.9332347257580962,NA,NA
FedE4RAG-UniTable,10,0.6215054907138042,0.9438739477638879,NA,NA
FedTabRAG-Full(R+U),1,3.871059374404963,1.0,0.21426099590340242,NA
FedTabRAG-Full(R+U),2,3.871121435431261,1.0000160320522873,0.22662986204791508,NA
FedTabRAG-Full(R+U),3,3.8711096173597688,1.0000129791227534,0.23509667891940256,NA
FedTabRAG-Full(R+U),4,3.873756597987549,1.000696766265178,0.23717485497450158,NA
FedTabRAG-Full(R+U),5,3.8733785229683306,1.0005990991971607,0.23570671523882217,NA
FedTabRAG-Full(R+U),6,3.878714170729905,1.0019774422411485,0.23378349992525296,NA
FedTabRAG-Full(R+U),7,3.8667637033339735,0.9988903112415708,0.23145575487581627,NA
FedTabRAG-Full(R+U),8,3.858350175624935,0.9967168680325444,0.2267294133692769,NA
FedTabRAG-Full(R+U),9,3.8508769944364154,0.9947863419243861,0.21973933112950217,NA
FedTabRAG-Full(R+U),10,3.834466403412118,0.9905470395946924,0.21003799534801354,NA
