method,table_ndcg@10,row_ndcg@10,cell_ndcg@10,cell_recall@5,weighted_global_ndcg@10,weighted_macro_ndcg@10,weighted_worst_client_ndcg@10,weighted_client_std_ndcg@10,qa100_numerical_em,program_accuracy,source
FedE4RAG-Flat,0.3145038516210096,0.4425685058724604,0.1209646582543354,0.4351851851851852,0.25615365121310774,0.2542327872472855,0.2284054883069504,0.028142714721236778,0.07,NA,outputs/federated/fedrag_flat_s42/test_metrics.json
FedE4RAG-UniTable,0.3100780179213541,0.32925367424712065,0.13824445541389158,0.4930555555555556,0.2299139335653528,0.2281885239599546,0.19756861520749383,0.027641128339967076,0.07,NA,outputs/federated/fedrag_unitable_s42/test_metrics.json
FedTabRAG-Full(R+U),0.3419709768505389,0.3078785338104235,0.13152659236395134,0.4548611111111111,0.22652105169521053,0.22488989812483645,0.19955300267642628,0.02762848840676175,0.05,NA,outputs/federated/day8_r_plus_u_s42/formal_test_best_round4_once.json
