perturbation_percent,table_ndcg@10,row_ndcg@10,cell_ndcg@10,cell_recall@5,weighted_ndcg@10,absolute_drop_vs_0,cell_text_multiset_equal,source
0,0.3419709768505389,0.3078785338104235,0.13152659236395134,0.4548611111111111,0.22652105169521053,0.0,original,outputs/federated/day8_r_plus_u_s42/formal_test_best_round4_once.json
5,0.3401478509020995,0.30406316021938135,0.1301868319577114,0.44907407407407407,0.22434193422509002,0.0021791174701205063,True,outputs/day10/robustness/rate_05.json
10,0.34189810596877557,0.300313096944618,0.1284131345870446,0.4398148148148148,0.2226801175706628,0.0038409341245477235,True,outputs/day10/robustness/rate_10.json
20,0.3444752481705201,0.2989600554890324,0.12668588210421172,0.44675925925925924,0.2219260073329196,0.00459504436229094,True,outputs/day10/robustness/rate_20.json
30,0.3441822675666015,0.28971280527112675,0.12364810661228513,0.44675925925925924,0.2175743484008009,0.008946703294409636,True,outputs/day10/robustness/rate_30.json
