round,loss,hier_loss,table_loss,row_loss,cell_loss,hard_loss,kd_loss,kd_table_loss,kd_row_loss,kd_cell_loss,kd_weight,table_valid,row_valid,cell_valid,hard_hits,grad_norm_table,grad_norm_row,grad_norm_cell,grad_norm_hard,grad_norm_kd,fp16_overflow_skips,seconds,peak_gpu_mib,round_communication_bytes,dev_weighted_ndcg,dev_table_ndcg,dev_row_ndcg,dev_cell_ndcg,dev_worst_ndcg,agg_min_weight,agg_max_weight,agg_weight_std
1,3.871059374404963,3.8400096920806024,4.493869521909837,4.107084829764614,3.0479867679529615,0.1552484137196264,6.778115809680889e-05,7.305499901835827e-05,6.711104867608058e-05,5.932138807862254e-05,0.0,6251,4793,4793,6251,0.06764936969357245,0.049227736867579114,0.027692015546167896,0.14270232004776404,0.0005196101958634738,0,576.440533393994,11590.11669921875,11796480,0.21426099590340242,0.3248326392258098,0.2972237374908823,0.12025469362195149,0.10719207493838784,0.19339222670340286,0.20432171460194024,0.00379109742813968
2,3.871121435431261,3.840004057432659,4.494916733701963,4.09471696717903,3.040457327487994,0.15549565949224367,7.30068997246195e-05,7.235874545166654e-05,6.70816260385364e-05,6.986892664194413e-05,0.25,6251,4793,4793,6251,0.07217779719961262,0.04451069424525537,0.02879772964349721,0.17160670506911227,0.0006314234029669117,0,573.4104333800497,11560.09130859375,11796480,0.22662986204791508,0.33102651729849325,0.3124906157943593,0.13335474769981723,0.11960111883300331,0.19243970627204118,0.20536848899509785,0.004321345385116932
3,3.8711096173597688,3.839720854246273,4.496195366331196,4.081506266742475,3.029637194803969,0.15674116605614952,8.106037447532232e-05,7.123089900098461e-05,6.989641555016825e-05,8.476396207745015e-05,0.5,6251,4793,4793,6251,0.11402674657472793,0.06857893849617826,0.05024004193675275,0.2087108983499757,0.0009614477582780424,0,572.0343790599145,11630.73095703125,11796480,0.23509667891940256,0.33597189075927275,0.3284592869666125,0.13872902935512854,0.12303441265251212,0.19196330879263834,0.20565228876201938,0.004514501992543325
4,3.873756597987549,3.8419433683407767,4.496792153270082,4.1052178300159206,3.047282849727039,0.15887923560676045,7.475931852525723e-05,6.825283905284093e-05,6.677062993867913e-05,7.583873776722237e-05,0.5,6251,4793,4793,6251,0.12896082016767174,0.08098521594012935,0.07740421529684684,0.24341376319296,0.0017402749284873447,0,574.0284091600915,12998.0869140625,11796480,0.23717485497450158,0.33835854737903737,0.3321317122609103,0.139727263640842,0.12585184492677043,0.19224717974619485,0.2050661469182932,0.004283815147073177
5,3.8733785229683306,3.8412961000437127,4.497892235959923,4.101083932301835,3.0427726757405034,0.16026462537220235,5.898902891079003e-05,6.391478812474514e-05,5.7303454193702136e-05,5.2164222911018654e-05,0.5,6251,4793,4793,6251,0.13499388476704577,0.08967640198384276,0.057678296459027716,0.23439491056074752,0.0007487682639430305,0,573.515210587997,11471.13232421875,11796480,0.23570671523882217,0.33682742666280563,0.32919740559411004,0.13916401645605608,0.13005425710987187,0.19353952981115843,0.20464899326251315,0.003748498525200243
6,3.878714170729905,3.84661183397448,4.496061541809033,4.090787681052691,3.035409489317991,0.16037996070570995,5.2691422797427034e-05,6.0405848753578774e-05,5.485920440827181e-05,4.2359038139073766e-05,0.5,6251,4793,4793,6251,0.1405817381908107,0.08525467832209296,0.04482907219561488,0.29897990117774653,0.0005708023027988125,0,573.1052155860234,14750.2578125,11796480,0.23378349992525296,0.3345869642209685,0.32875624351258426,0.13647846805456793,0.12780587200398452,0.1936053897809565,0.20537238854623763,0.003870552634122496
7,3.8667637033339735,3.835406991098528,4.491290014999238,4.091986644454902,3.034269100915174,0.15664915749897096,5.376703726090692e-05,6.112386732614263e-05,5.748515732384396e-05,4.300570931388365e-05,0.5,6251,4793,4793,6251,0.15903634635395386,0.18371959553879116,0.11256205576869625,0.3139542532484764,0.0005103167460427762,0,573.0250610669609,11561.29296875,11796480,0.23145575487581627,0.32744250737781905,0.32789497546909413,0.13519752151904843,0.12669411427752694,0.19430338616189022,0.20476703007671257,0.003357388464725005
8,3.858350175624935,3.8273910188014058,4.479101335065397,4.090132749446035,3.0318175841843846,0.15464746134531557,5.9325989053186667e-05,6.508152615186148e-05,6.415393915594214e-05,4.829932351113305e-05,0.5,6251,4793,4793,6251,0.20411037153163145,0.08610836295711348,0.0501596506541124,0.3390514596836588,0.00032660620914420386,0,574.5850569769973,11597.662109375,11796480,0.2267294133692769,0.3206896623568213,0.3227590010686383,0.13152756115464231,0.12442540081653927,0.19466930415757377,0.2040341168450987,0.003074545704842325
9,3.8508769944364154,3.8209806907210746,4.466166642628775,4.080821197406282,3.027261629876134,0.14929870503282092,7.313659658178546e-05,7.431838646700887e-05,8.018908735437884e-05,6.163635195496035e-05,0.5,6251,4793,4793,6251,0.2478880366360164,0.1718487935149621,0.13448804898347835,0.4149219812269924,0.0015380114889273497,0,574.8383121959632,11603.45751953125,11796480,0.21973933112950217,0.3075081872362081,0.31442918776460016,0.12781787470576098,0.11900459602931535,0.19455065940563562,0.20444134241505565,0.0031991742812525897
10,3.834466403412118,3.8055431600919407,4.448460341487536,4.050101211670737,3.0072838261273467,0.14438709337170846,9.16464894161736e-05,8.949837975680154e-05,9.765936670309911e-05,8.041608234550552e-05,0.5,6251,4793,4793,6251,0.26571130943859256,0.1309510920790458,0.07973345908500412,0.473903529043991,0.0019059392119039867,0,572.823384219897,13046.15673828125,11796480,0.21003799534801354,0.29045212144796617,0.3013212771730726,0.12310237581299703,0.10660944493596143,0.19499436759288097,0.2058706883880505,0.0035395977266287084
